codigo,distrito,partido,votos,mandatos,timestamp
LOCAL-010000,Aveiro,Votos em branco,6662,0,2025-05-29 22:39:34.000000 UTC
LOCAL-010000,Aveiro,Votos nulos,3944,0,2025-05-29 22:39:34.000000 UTC
LOCAL-010000,Aveiro,PPD/PSD.CDS-PP,163617,7,2025-05-29 22:39:34.000000 UTC
LOCAL-010000,Aveiro,PS,90010,4,2025-05-29 22:39:34.000000 UTC
LOCAL-010000,Aveiro,CH,85760,4,2025-05-29 22:39:34.000000 UTC
LOCAL-010000,Aveiro,IL,23444,1,2025-05-29 22:39:34.000000 UTC
LOCAL-010000,Aveiro,L,12805,0,2025-05-29 22:39:34.000000 UTC
LOCAL-010000,Aveiro,B.E.,7015,0,2025-05-29 22:39:34.000000 UTC
LOCAL-010000,Aveiro,ADN,6974,0,2025-05-29 22:39:34.000000 UTC
LOCAL-010000,Aveiro,PAN,5131,0,2025-05-29 22:39:34.000000 UTC
LOCAL-010000,Aveiro,PCP-PEV,4923,0,2025-05-29 22:39:34.000000 UTC
LOCAL-010000,Aveiro,PCTP/MRPP,1005,0,2025-05-29 22:39:34.000000 UTC
LOCAL-010000,Aveiro,R.I.R.,933,0,2025-05-29 22:39:34.000000 UTC
LOCAL-010000,Aveiro,VP,592,0,2025-05-29 22:39:34.000000 UTC
LOCAL-010000,Aveiro,E,528,0,2025-05-29 22:39:34.000000 UTC
LOCAL-010000,Aveiro,ND,472,0,2025-05-29 22:39:34.000000 UTC
LOCAL-010000,Aveiro,NC,299,0,2025-05-29 22:39:34.000000 UTC
LOCAL-010000,Aveiro,PPM,304,0,2025-05-29 22:39:34.000000 UTC
LOCAL-020000,Beja,Votos em branco,1012,0,2025-05-29 22:39:35.000000 UTC
LOCAL-020000,Beja,Votos nulos,689,0,2025-05-29 22:39:35.000000 UTC
LOCAL-020000,Beja,CH,20447,1,2025-05-29 22:39:35.000000 UTC
LOCAL-020000,Beja,PS,19536,1,2025-05-29 22:39:35.000000 UTC
LOCAL-020000,Beja,PPD/PSD.CDS-PP,15407,1,2025-05-29 22:39:35.000000 UTC
LOCAL-020000,Beja,PCP-PEV,10000,0,2025-05-29 22:39:35.000000 UTC
LOCAL-020000,Beja,L,1547,0,2025-05-29 22:39:35.000000 UTC
LOCAL-020000,Beja,IL,1439,0,2025-05-29 22:39:35.000000 UTC
LOCAL-020000,Beja,B.E.,1365,0,2025-05-29 22:39:35.000000 UTC
LOCAL-020000,Beja,ADN,713,0,2025-05-29 22:39:35.000000 UTC
LOCAL-020000,Beja,PAN,636,0,2025-05-29 22:39:35.000000 UTC
LOCAL-020000,Beja,PCTP/MRPP,455,0,2025-05-29 22:39:35.000000 UTC
LOCAL-020000,Beja,R.I.R.,135,0,2025-05-29 22:39:35.000000 UTC
LOCAL-020000,Beja,ND,97,0,2025-05-29 22:39:35.000000 UTC
LOCAL-020000,Beja,VP,93,0,2025-05-29 22:39:35.000000 UTC
LOCAL-020000,Beja,E,87,0,2025-05-29 22:39:35.000000 UTC
LOCAL-020000,Beja,PPM,84,0,2025-05-29 22:39:35.000000 UTC
LOCAL-030000,Braga,Votos em branco,9014,0,2025-05-29 22:39:36.000000 UTC
LOCAL-030000,Braga,Votos nulos,5930,0,2025-05-29 22:39:36.000000 UTC
LOCAL-030000,Braga,PPD/PSD.CDS-PP,198180,8,2025-05-29 22:39:36.000000 UTC
LOCAL-030000,Braga,PS,125539,5,2025-05-29 22:39:36.000000 UTC
LOCAL-030000,Braga,CH,119917,5,2025-05-29 22:39:36.000000 UTC
LOCAL-030000,Braga,IL,36687,1,2025-05-29 22:39:36.000000 UTC
LOCAL-030000,Braga,L,16615,0,2025-05-29 22:39:36.000000 UTC
LOCAL-030000,Braga,B.E.,10029,0,2025-05-29 22:39:36.000000 UTC
LOCAL-030000,Braga,PCP-PEV,9180,0,2025-05-29 22:39:36.000000 UTC
LOCAL-030000,Braga,ADN,5329,0,2025-05-29 22:39:36.000000 UTC
LOCAL-030000,Braga,PAN,5181,0,2025-05-29 22:39:36.000000 UTC
LOCAL-030000,Braga,R.I.R.,1086,0,2025-05-29 22:39:36.000000 UTC
LOCAL-030000,Braga,ND,888,0,2025-05-29 22:39:36.000000 UTC
LOCAL-030000,Braga,VP,694,0,2025-05-29 22:39:36.000000 UTC
LOCAL-030000,Braga,E,529,0,2025-05-29 22:39:36.000000 UTC
LOCAL-030000,Braga,JPP,307,0,2025-05-29 22:39:36.000000 UTC
LOCAL-030000,Braga,PPM,272,0,2025-05-29 22:39:36.000000 UTC
LOCAL-040000,Bragança,Votos em branco,854,0,2025-05-29 22:39:37.000000 UTC
LOCAL-040000,Bragança,Votos nulos,930,0,2025-05-29 22:39:37.000000 UTC
LOCAL-040000,Bragança,PPD/PSD.CDS-PP,30611,2,2025-05-29 22:39:37.000000 UTC
LOCAL-040000,Bragança,PS,17796,1,2025-05-29 22:39:37.000000 UTC
LOCAL-040000,Bragança,CH,14288,0,2025-05-29 22:39:37.000000 UTC
LOCAL-040000,Bragança,IL,1527,0,2025-05-29 22:39:37.000000 UTC
LOCAL-040000,Bragança,ADN,1071,0,2025-05-29 22:39:37.000000 UTC
LOCAL-040000,Bragança,L,792,0,2025-05-29 22:39:37.000000 UTC
LOCAL-040000,Bragança,PCP-PEV,725,0,2025-05-29 22:39:37.000000 UTC
LOCAL-040000,Bragança,B.E.,591,0,2025-05-29 22:39:37.000000 UTC
